id,nice_facility,friendly_host,flexible_time,adequate_amenity,convenient_tranposrtation,highly_recommended,easy_acess,prepare_essentials,match_description,nice_neighborhood,good_location,like_home
16678870,6,3,5,2,2,12,7,10,3,0,3,7
18812871,1,3,0,3,0,7,5,5,2,0,1,0
18645367,2,1,4,2,1,2,8,1,0,1,0,4
19560789,0,0,0,0,0,0,0,0,0,0,0,0
9944017,5,3,3,1,1,13,19,11,1,4,6,2
13893861,6,7,4,0,3,16,13,16,3,4,4,2
13708345,0,1,0,0,0,1,1,0,0,0,2,0
19053928,10,14,5,5,7,26,26,15,5,4,10,8
13009244,36,11,9,9,10,52,81,39,20,15,10,9
18793420,1,1,0,0,0,1,3,0,0,0,2,0
1074155,353,198,179,176,122,389,399,355,55,125,129,360
18721845,3,3,0,0,0,6,4,4,1,2,3,0
10105844,2,0,1,2,0,4,8,2,2,0,1,3
1080839,50,9,18,30,11,60,67,35,12,8,12,7
20896605,4,1,2,1,5,7,8,3,1,4,6,0
10807838,24,8,7,12,6,15,27,12,6,7,5,7
9095082,10,3,4,6,5,9,6,5,1,2,8,6
16068067,0,0,0,0,0,0,1,1,0,0,0,4
18528021,0,0,0,0,0,2,4,0,0,0,0,0
12782677,40,16,23,23,21,71,60,33,13,19,19,16
57901,20,3,2,6,4,23,20,9,5,4,1,4
19673412,0,1,0,0,0,1,1,0,0,0,2,0
20932820,3,2,0,0,1,5,0,6,0,0,0,0
20954875,1,0,0,0,0,2,3,1,0,0,2,4
6589338,47,22,20,22,33,79,92,52,15,42,18,16
19803462,8,6,3,0,8,16,17,12,2,4,5,4
14094358,16,13,6,9,5,34,23,27,4,5,9,7
8042732,3,1,2,2,1,4,5,3,1,2,2,0
11553357,5,4,2,0,1,12,13,8,0,4,10,2
7866421,12,4,4,7,2,14,10,17,1,6,6,3
13100721,14,5,7,9,11,16,17,10,1,9,3,6
4512329,9,4,2,2,0,8,11,4,1,6,3,0
18227775,2,1,5,2,2,3,3,2,0,1,3,7
5990521,2,2,2,2,3,6,5,4,0,1,2,6
20654850,3,2,0,1,0,3,4,1,0,0,1,0
20286744,1,1,1,0,0,8,8,1,2,0,1,4
14234711,9,2,3,8,10,10,16,3,5,6,1,3
16845694,16,5,2,14,1,17,20,15,2,0,7,9
15558614,20,18,6,9,12,30,25,20,3,8,7,13
19952847,3,0,0,0,0,1,0,1,0,0,0,0
16178450,19,3,8,9,9,20,21,13,3,6,4,3
18737405,0,0,0,0,0,0,0,0,0,0,1,0
9433824,4,7,3,3,5,16,14,7,0,3,3,7
12774885,161,37,55,82,57,147,149,115,25,41,37,69
16164699,13,5,2,0,4,11,8,8,0,2,1,0
10043694,24,4,5,8,7,23,18,15,2,6,8,8
1264732,78,62,28,31,32,197,182,118,35,38,50,37
19873802,22,5,4,11,10,34,42,17,6,14,7,6
4772544,3,2,4,3,0,3,4,3,0,0,6,5
13098373,10,5,1,5,1,16,10,9,5,3,1,7
